,Unnamed: 0,latitud,longitud,titulo,tipo_propiedad,precio,moneda,m2,ambientes
382,382,-34.599144,-58.37822,Alquiler Departamento Amoblado Microcentro Buenos Aires.,Apartamento,200.0,USD,40.0,2.0
383,383,-34.557964,-58.465893,Alquiler Oficina Microcentro. Depósito. Hipolito Yrigoyen.,Apartamento,100.0,USD,30.0,1.0
384,384,-34.624554,-58.373898,Departamento Monoambiente Amplio San Telmo Alquiler,Apartamento,24000.0,COP,51.0,1.0
385,385,-34.597607,-58.490593,Dueño Alquila Hermoso 2 Ambientes En Agronomía!!!!,Apartamento,25000.0,COP,37.0,2.0
386,386,-34.59753,-58.489483,Departamento 2 Ambientes Ubicado En Villa Del Parque,Apartamento,25000.0,COP,46.0,2.0
387,387,-34.59624,-58.406467,Dueño Alquila Dto 2 Ambientes Barrio Norte,Apartamento,22000.0,COP,45.0,2.0
388,388,-34.603397,-58.388203,Monoambiente Luminoso! Dueño Directo,Apartamento,20000.0,COP,20.0,1.0
389,389,-34.60534,-58.39511,2 Amb Centro Subte Equipados Súper Luminoso Todo Incluido ,Apartamento,29000.0,COP,30.0,2.0
390,390,-34.598648,-58.39494,1 Ambiente | Paraguay Al 1900,Apartamento,19500.0,COP,34.0,1.0
391,391,-34.621227,-58.42579,Dueño Alquila Loft 2 Amb. En Caballito Unicoooo!!!,Apartamento,27000.0,COP,48.0,2.0
392,392,-34.591137,-58.396935,Recoleta 2 Amb. Gran Ubicación. Diseñado Para Disfrutar.,Apartamento,2500.0,COP,43.0,2.0
393,393,-34.597137,-58.493885,Alquilo 1 Ambiente Muy Grande Y Soleado,Apartamento,16000.0,COP,36.0,1.0
394,394,-34.557255,-58.441628,Bajo Belgrano - Moderno  3 Amb Con Balcón - La Pampa Y Artilleros,Apartamento,68000.0,COP,76.0,3.0
395,395,-34.591976,-58.405037,Departamento Alquiler Temporal. Barrio Recoleta Caba,Apartamento,2950.0,COP,58.0,3.0
396,396,-34.570335,-58.433945,"Alquiler De Departamento 1 Ambiente En Palermo, Capital Federal (1915)",Apartamento,18000.0,COP,34.0,1.0
397,397,-34.570335,-58.433945,"Alquiler De Departamento 1 Ambiente En Palermo, Capital Federal (1915)",Apartamento,18000.0,COP,34.0,1.0
398,398,-34.578064,-58.426533,"Alquiler De Departamento Sólo Apto Profesional En Palermo- Barrio Norte, Capital Federal",Apartamento,35000.0,COP,88.0,4.0
399,399,-34.5796,-58.407814,Palermo Chico Oficina  Salguero Y Av Libertador Vigilan Coch,Oficina,52000.0,COP,115.0,5.0
400,400,-34.603355,-58.382107,Alquiler Habitacion Compartida - $6000 X Mes - Obelisco,Apartamento,6000.0,COP,250.0,5.0
401,401,-34.59948,-58.38799,"Dto Amoblado, Excelente Estado, Luminoso, Contraf. Bal Franc",Apartamento,23000.0,COP,33.0,1.0
402,402,-34.54014,-58.47402,Alquiler 2 Amb Amoblado Con Cochera En Astor Núñez(an_20e),Apartamento,75000.0,COP,50.0,2.0
403,403,-34.589188,-58.41277,Dueño Alquila 4 Dorm  Vista Panoram Frente Alto Palermo,Apartamento,75000.0,COP,110.0,5.0
404,404,-34.576645,-58.422028,Hermoso  Departamento  En  Palermo  Nuevo,Apartamento,1300.0,COP,22.0,1.0
405,405,-34.57749,-58.422882,Hermoso Departamento En Alquiler Temporario En Palermo,Apartamento,1500.0,COP,29.0,1.0
406,406,-34.592236,-58.39518,Mono Ambiente - Studio - Recoleta - Apto Profesional,Apartamento,37000.0,COP,40.0,1.0
407,407,-34.553463,-58.466343,"Departamento 2 Ambientes Nuñez Con Cochera, Equipado",Apartamento,35000.0,COP,50.0,2.0
408,408,-34.59881,-58.395737,Depto 4amb Apto Profesional Ideal Oficina /consultorio,Oficina,55000.0,COP,80.0,
